Song,Movie,Year,Raga,Musician,Lyricist,Singers,Song_ID,Movie_ID,Song_URL,Movie_URL
Ee Mizhikalin,Ormayundo Ee Mukham,2014,Aarabhi,Shaan Rahman,Vineeth Sreenivasan,"Vineeth Sreenivasan, Mridula Warrier",1953642,7779,https://en.msidb.org/s.php?1953642,https://en.msidb.org/m.php?7779
Aadiyil Vachanamundaayi,Chettathi,1965,Ahir Bhairavi,MS Baburaj,Vayalar Ramavarma,KJ Yesudas,590,2303,https://en.msidb.org/s.php?590,https://en.msidb.org/m.php?2303
Vijanatheerame,Raathrivandi,1971,Ahir Bhairavi,MS Baburaj,P Bhaskaran,KJ Yesudas,2512,766,https://en.msidb.org/s.php?2512,https://en.msidb.org/m.php?766
Tajmahal Nirmicha,Azhakulla Saleena,1973,Ahir Bhairavi,KJ Yesudas,Vayalar Ramavarma,P Susheela,3109,3370,https://en.msidb.org/s.php?3109,https://en.msidb.org/m.php?3370
Asthamayachakravaalam,Soundarya Pooja,1973,Ahir Bhairavi,MS Baburaj,Sreekumaran Thampi,KJ Yesudas,3020,4424,https://en.msidb.org/s.php?3020,https://en.msidb.org/m.php?4424
Jeevithame ha jeevithame,Pathiraasooryan,1981,Ahir Bhairavi,V Dakshinamoorthy,Sreekumaran Thampi,KJ Yesudas,5948,2722,https://en.msidb.org/s.php?5948,https://en.msidb.org/m.php?2722
Chaithram chaayam chaalichu,Chillu,1982,Ahir Bhairavi,MB Sreenivasan,ONV Kurup,KJ Yesudas,6265,337,https://en.msidb.org/s.php?6265,https://en.msidb.org/m.php?337
Raakkilithan (M),Perumazhakkaalam,2004,Ahir Bhairavi,M Jayachandran,Rafeeq Ahamed,M Jayachandran,8521,2434,https://en.msidb.org/s.php?8521,https://en.msidb.org/m.php?2434
Raakkilithan (f),Perumazhakkaalam,2004,Ahir Bhairavi,M Jayachandran,Rafeeq Ahamed,Sujatha Mohan,8520,2434,https://en.msidb.org/s.php?8520,https://en.msidb.org/m.php?2434
Nishaasurabhee,Ivan Megharoopan,2012,Ahir Bhairavi,Sharreth,ONV Kurup,Shweta Mohan,193570,6996,https://en.msidb.org/s.php?193570,https://en.msidb.org/m.php?6996
Njanoru Veenaadhaari,Sivathaandavam,1977,Airavathi,MB Sreenivasan,Perumbuzha Gopalakrishnan,KJ Yesudas,4128,287,https://en.msidb.org/s.php?4128,https://en.msidb.org/m.php?287
Kaumaara Swapnangal,Aarathi,1981,Airavathi,MB Sreenivasan,Sathyan Anthikkad,S Janaki,6052,2279,https://en.msidb.org/s.php?6052,https://en.msidb.org/m.php?2279
Aadiparaashakthi,Ponnaapuram Kotta,1973,Amrithavarshini,G Devarajan,Vayalar Ramavarma,"KJ Yesudas, PB Sreenivas, P Leela, P Susheela, P Madhuri",2948,3752,https://en.msidb.org/s.php?2948,https://en.msidb.org/m.php?3752
Aakaashagangayil Njaanorikkal,Ragging,1973,Amrithavarshini,MK Arjunan,PJ Antony,S Janaki,2907,2595,https://en.msidb.org/s.php?2907,https://en.msidb.org/m.php?2595
Kasthoori Gandhikal (Om Namo Narayananaya),Sethubandhanam,1974,Amrithavarshini,G Devarajan,Sreekumaran Thampi,"KJ Yesudas, P Madhuri, Ayiroor Sadasivan",3295,895,https://en.msidb.org/s.php?3295,https://en.msidb.org/m.php?895
Maarivillinte panthal,Vadakaveedu,1979,Amrithavarshini,MS Viswanathan,Bichu Thirumala,Vani Jairam,5036,3984,https://en.msidb.org/s.php?5036,https://en.msidb.org/m.php?3984
Vilikkaathirunnaalum,Ishtamaanu Pakshe,1980,Amrithavarshini,G Devarajan,Alappuzha Rajasekharan Nair,"KJ Yesudas, P Jayachandran, P Madhuri",5774,3142,https://en.msidb.org/s.php?5774,https://en.msidb.org/m.php?3142
Sharathkaala Megham,Dhruvasangamam,1981,Amrithavarshini,Raveendran,Sathyan Anthikkad,KJ Yesudas,6007,982,https://en.msidb.org/s.php?6007,https://en.msidb.org/m.php?982
Thaalam Thettiya Jeevithangal,Thaalam Manassinte Thaalam,1981,Amrithavarshini,G Devarajan,Devadas,MG Radhakrishnan,5844,328,https://en.msidb.org/s.php?5844,https://en.msidb.org/m.php?328
Vadasi Yadi,Manj,1983,Amrithavarshini,MB Sreenivasan,Traditional (Jayadevar),Usha Ravi,7419,2078,https://en.msidb.org/s.php?7419,https://en.msidb.org/m.php?2078
Ghanashyaama varnnaa kanna,Naanayam,1983,Amrithavarshini,Shyam,Yusufali Kecheri,Vani Jairam,7471,1256,https://en.msidb.org/s.php?7471,https://en.msidb.org/m.php?1256
Aadi Brahmamunarnnu,Ezhu Swarangal,1984,Amrithavarshini,Thankachan,Shibu Chakravarthy,Krishnachandran,13519,5853,https://en.msidb.org/s.php?13519,https://en.msidb.org/m.php?5853
Maanam pon manam,Idavelakku Shesham,1984,Amrithavarshini,Raveendran,Poovachal Khader,KJ Yesudas,7199,4555,https://en.msidb.org/s.php?7199,https://en.msidb.org/m.php?4555
Kumkumathumpikal,Vepraalam,1984,Amrithavarshini,KV Mahadevan,Balu Kiriyath,P Susheela,7247,4485,https://en.msidb.org/s.php?7247,https://en.msidb.org/m.php?4485
